"PrinterName","whenCreated","whenChanged","SamAccountName","distinguishedName"
"b128-hplj2605dn Group","8/5/2010 10:52:59 AM","2/18/2021 9:29:06 AM","b128-hplj2605dn Group","CN=b128-hplj2605dn Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"3100-hp710 Group","9/13/2010 9:10:24 AM","2/18/2021 9:29:05 AM","3100-hp710 Group","CN=3100-hp710 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"erma2-270-hp4550 Group","9/13/2010 12:24:23 PM","2/18/2021 9:29:06 AM","erma2-270-hp4550 Group","CN=erma2-270-hp4550 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"g135-lex-e120 Group","9/13/2010 1:58:04 PM","2/18/2021 9:29:06 AM","g135-lex-e120 Group","CN=g135-lex-e120 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"g174-hp3600 Group","10/14/2010 12:24:08 PM","2/18/2021 9:29:06 AM","g174-hp3600 Group","CN=g174-hp3600 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"rni1-minolta-c368 Group","5/2/2017 9:17:13 AM","8/3/2021 10:38:19 AM","rni1-minolta-c368 Group","CN=rni1-minolta-c368 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"sgraber-printer Group","9/13/2010 2:37:32 PM","2/18/2021 9:29:06 AM","sgraber-printer Group","CN=sgraber-printer Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"4742-hpcp3525","5/3/2011 3:02:23 PM","2/18/2021 9:29:05 AM","4742-hpcp3525","CN=4742-hpcp3525,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"ADUC-RG","1/20/2011 2:28:24 PM","2/18/2021 9:29:06 AM","ADUC-RG","CN=ADUC-RG,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"b59-hp2575","7/11/2011 7:20:33 AM","2/18/2021 9:29:06 AM","b59-hp2575","CN=b59-hp2575,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"eram2-brother-7600","8/30/2011 3:40:12 PM","2/18/2021 9:29:06 AM","eram2-brother-7600","CN=eram2-brother-7600,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"2038-brother-6180dw Group","11/20/2012 9:57:56 AM","2/18/2021 9:29:05 AM","2038-brother-6180dw Group","CN=2038-brother-6180dw Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"2280-gestetner3502p Group","1/19/2012 3:25:13 PM","2/18/2021 9:29:05 AM","2280-gestetner3502p Group","CN=2280-gestetner3502p Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"2041-hpcp4025 Group","3/9/2015 2:10:06 PM","2/18/2021 9:29:05 AM","2041-hpcp4025 Group","CN=2041-hpcp4025 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"2041-hp4015 Group","3/12/2015 9:50:54 AM","2/18/2021 9:29:05 AM","2041-hp4015 Group","CN=2041-hp4015 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
